Ensembl,GeneID,Gene Names,Primary Gene Name
ENSG00000005075,5439,"['POLR2J', 'POLR2J1']",POLR2J
ENSG00000005339,1387,"['CREBBP', 'CBP']",CREBBP
ENSG00000006712,54623,"['PAF1', 'PD2']",PAF1
ENSG00000008838,9862,"['MED24', 'ARC100', 'CRSP4', 'DRIP100', 'KIAA0130', 'THRAP4', 'TRAP100']",MED24
ENSG00000011007,6924,"['ELOA', 'TCEB3', 'MSTP059']",ELOA
ENSG00000011332,8193,"['DPF1', 'BAF45B', 'NEUD4']",DPF1
ENSG00000020426,4331,"['MNAT1', 'CAP35', 'MAT1', 'RNF66']",MNAT1
ENSG00000028310,65980,"['BRD9', 'UNQ3040/PRO9856']",BRD9
ENSG00000032219,5926,"['ARID4A', 'RBBP1', 'RBP1']",ARID4A
ENSG00000042429,9440,"['MED17', 'ARC77', 'CRSP6', 'DRIP77', 'DRIP80', 'TRAP80']",MED17
ENSG00000047315,5431,['POLR2B'],POLR2B
ENSG00000049618,57492,"['ARID1B', 'BAF250B', 'DAN15', 'KIAA1235', 'OSA2']",ARID1B
ENSG00000054267,51742,"['ARID4B', 'BRCAA1', 'RBBP1L1', 'RBP1L1', 'SAP180']",ARID4B
ENSG00000063322,55588,"['MED29', 'IXL']",MED29
ENSG00000064313,6873,"['TAF2', 'CIF150', 'TAF2B']",TAF2
ENSG00000064995,6882,"['TAF11', 'TAF2I', 'PRO2134']",TAF11
ENSG00000065883,8621,"['CDK13', 'CDC2L', 'CDC2L5', 'CHED', 'KIAA1791']",CDK13
ENSG00000066117,6602,"['SMARCD1', 'BAF60A']",SMARCD1
ENSG00000072364,27125,"['AFF4', 'AF5Q31', 'MCEF', 'HSPC092']",AFF4
ENSG00000073584,6605,"['SMARCE1', 'BAF57']",SMARCE1
ENSG00000075624,60,['ACTB'],ACTB
ENSG00000077080,51412,"['ACTL6B', 'ACTL6', 'BAF53B']",ACTL6B
ENSG00000077721,7319,"['UBE2A', 'RAD6A']",UBE2A
ENSG00000078403,8028,"['MLLT10', 'AF10']",MLLT10
ENSG00000080503,6595,"['SMARCA2', 'BAF190B', 'BRM', 'SNF2A', 'SNF2L2']",SMARCA2
ENSG00000082014,6604,"['SMARCD3', 'BAF60C']",SMARCD3
ENSG00000082258,905,['CCNT2'],CCNT2
ENSG00000083168,7994,"['KAT6A', 'MOZ', 'MYST3', 'RUNXBP2', 'ZNF220']",KAT6A
ENSG00000084676,8648,"['NCOA1', 'BHLHE74', 'SRC1']",NCOA1
ENSG00000086758,10075,"['HUWE1', 'KIAA0312', 'KIAA1578', 'UREB1', 'HSPC272']",HUWE1
ENSG00000087152,,['ATXN7L3'],ATXN7L3
ENSG00000090061,8812,"['CCNK', 'CPR4']",CCNK
ENSG00000092201,11198,"['SUPT16H', 'FACT140', 'FACTP140']",SUPT16H
ENSG00000099381,9739,"['SETD1A', 'KIAA0339', 'KMT2F', 'SET1', 'SET1A']",SETD1A
ENSG00000099385,9274,['BCL7C'],BCL7C
ENSG00000099817,5434,['POLR2E'],POLR2E
ENSG00000099917,51586,"['MED15', 'ARC105', 'CTG7A', 'PCQAP', 'TIG1', 'TNRC7']",MED15
ENSG00000099956,6598,"['SMARCB1', 'BAF47', 'INI1', 'SNF5L1']",SMARCB1
ENSG00000100142,5435,"['POLR2F', 'POLRF']",POLR2F
ENSG00000100393,2033,"['EP300', 'P300']",EP300
ENSG00000101158,51497,"['NELFCD', 'NELFD', 'TH1', 'TH1L', 'HSPC130']",NELFCD
ENSG00000102038,6594,"['SMARCA1', 'SNF2L', 'SNF2L1']",SMARCA1
ENSG00000102710,55578,"['SUPT20H', 'C13orf19', 'FAM48A', 'FP757']",SUPT20H
ENSG00000102978,5432,"['POLR2C', 'A-152E5.7']",POLR2C
ENSG00000103495,4150,"['MAZ', 'ZNF801']",MAZ
ENSG00000103510,84148,"['KAT8', 'MOF', 'MYST1', 'PP7073']",KAT8
ENSG00000104299,55756,"['INTS9', 'RC74']",INTS9
ENSG00000104613,55174,"['INTS10', 'C8orf35']",INTS10
ENSG00000104884,2068,"['ERCC2', 'XPD', 'XPDC']",ERCC2
ENSG00000104885,84444,"['DOT1L', 'KIAA1814', 'KMT4']",DOT1L
ENSG00000104973,81857,"['MED25', 'ACID1', 'ARC92', 'PTOV2', 'TCBAP0758']",MED25
ENSG00000105085,9441,"['MED26', 'ARC70', 'CRSP7']",MED26
ENSG00000105656,8178,"['ELL', 'C19orf17']",ELL
ENSG00000106290,6878,"['TAF6', 'TAF2E', 'TAFII70']",TAF6
ENSG00000106635,9275,['BCL7B'],BCL7B
ENSG00000108506,57508,"['INTS2', 'KIAA1287']",INTS2
ENSG00000108510,9969,"['MED13', 'ARC250', 'KIAA0593', 'THRAP1', 'TRAP240']",MED13
ENSG00000108590,51003,"['MED31', 'SOH1', 'CGI-125']",MED31
ENSG00000108604,6603,"['SMARCD2', 'BAF60B', 'PRO2451']",SMARCD2
ENSG00000108773,2648,"['KAT2A', 'GCN5', 'GCN5L2']",KAT2A
ENSG00000109111,6830,"['SUPT6H', 'KIAA0162', 'SPT6H']",SUPT6H
ENSG00000110768,2965,"['GTF2H1', 'BTF2']",GTF2H1
ENSG00000110987,605,['BCL7A'],BCL7A
ENSG00000112237,892,['CCNC'],CCNC
ENSG00000112282,9439,"['MED23', 'ARC130', 'CRSP3', 'DRIP130', 'KIAA1216', 'SUR2']",MED23
ENSG00000112592,6908,"['TBP', 'GTF2D1', 'TF2D', 'TFIID']",TBP
ENSG00000114166,8850,"['KAT2B', 'PCAF']",KAT2B
ENSG00000115274,83444,"['INO80B', 'HMGA1L4', 'PAPA1', 'ZNHIT4']",INO80B
ENSG00000117222,5929,"['RBBP5', 'RBQ3']",RBBP5
ENSG00000117713,8289,"['ARID1A', 'BAF250', 'BAF250A', 'C1orf4', 'OSA1', 'SMARCF1']",ARID1A
ENSG00000118058,4297,"['KMT2A', 'ALL1', 'CXXC7', 'HRX', 'HTRX', 'MLL', 'MLL1', 'TRX1']",KMT2A
ENSG00000118579,80306,"['MED28', 'EG1', 'FKSG20']",MED28
ENSG00000119760,9913,"['SUPT7L', 'KIAA0764']",SUPT7L
ENSG00000119866,53335,"['BCL11A', 'CTIP1', 'EVI9', 'KIAA1809', 'ZNF856']",BCL11A
ENSG00000120533,56943,"['ENY2', 'DC6']",ENY2
ENSG00000120656,6883,"['TAF12', 'TAF15', 'TAF2J', 'TAFII20']",TAF12
ENSG00000123066,23389,"['MED13L', 'KIAA1025', 'PROSIT240', 'THRAP2', 'TRAP240L']",MED13L
ENSG00000124151,8202,"['NCOA3', 'AIB1', 'BHLHE42', 'RAC3', 'TRAM1']",NCOA3
ENSG00000124422,23326,"['USP22', 'KIAA1063', 'USP3L']",USP22
ENSG00000124641,9477,"['MED20', 'TRFP']",MED20
ENSG00000125651,2962,"['GTF2F1', 'RAP74']",GTF2F1
ENSG00000125686,5469,"['MED1', 'ARC205', 'CRSP1', 'CRSP200', 'DRIP205', 'DRIP230', 'PBP', 'PPARBP', 'PPARGBP', 'RB18A', 'TRAP220', 'TRIP2']",MED1
ENSG00000127152,64919,"['BCL11B', 'CTIP2', 'RIT1']",BCL11B
ENSG00000127616,6597,"['SMARCA4', 'BAF190A', 'BRG1', 'SNF2B', 'SNF2L4']",SMARCA4
ENSG00000129071,8930,"['MBD4', 'MED1']",MBD4
ENSG00000129315,904,['CCNT1'],CCNT1
ENSG00000129691,9070,"['ASH2L', 'ASH2L1']",ASH2L
ENSG00000130024,55274,"['PHF10', 'BAF45A']",PHF10
ENSG00000130382,4298,"['MLLT1', 'ENL', 'LTG19', 'YEATS1']",MLLT1
ENSG00000130699,6874,"['TAF4', 'TAF2C', 'TAF2C1', 'TAF4A', 'TAFII130', 'TAFII135']",TAF4
ENSG00000130726,10155,"['TRIM28', 'KAP1', 'RNF96', 'TIF1B']",TRIM28
ENSG00000130772,54797,['MED18'],MED18
ENSG00000132964,1024,['CDK8'],CDK8
ENSG00000133398,84246,"['MED10', 'L6', 'TRG17', 'TRG20']",MED10
ENSG00000133884,5977,"['DPF2', 'BAF45D', 'REQ', 'UBID4']",DPF2
ENSG00000133895,4221,"['MEN1', 'SCG2']",MEN1
ENSG00000133997,10001,"['MED6', 'ARC33']",MED6
ENSG00000134058,1022,"['CDK7', 'CAK', 'CAK1', 'CDKN7', 'MO15', 'STK1']",CDK7
ENSG00000134371,79577,"['CDC73', 'C1orf28', 'HRPT2']",CDC73
ENSG00000134480,902,['CCNH'],CCNH
ENSG00000135801,27097,"['TAF5L', 'PAF65B']",TAF5L
ENSG00000136146,29079,"['MED4', 'ARC36', 'DRIP36', 'VDRIP', 'HSPC126']",MED4
ENSG00000136518,86,"['ACTL6A', 'BAF53', 'BAF53A', 'INO80K']",ACTL6A
ENSG00000136807,1025,"['CDK9', 'CDC2L4', 'TAK']",CDK9
ENSG00000137413,129685,"['TAF8', 'TAFII43', 'TBN']",TAF8
ENSG00000137947,2959,"['GTF2B', 'TF2B', 'TFIIB']",GTF2B
ENSG00000138785,57117,"['INTS12', 'PHF22', 'SBBI22']",INTS12
ENSG00000139613,6601,"['SMARCC2', 'BAF170']",SMARCC2
ENSG00000139718,,"['SETD1B', 'KIAA1076', 'KMT2G', 'SET1B']",SETD1B
ENSG00000140307,2958,"['GTF2A2', 'TF2A2']",GTF2A2
ENSG00000140395,80349,"['SKIC8', 'WDR61']",SKIC8
ENSG00000141026,55090,"['MED9', 'MED25']",MED9
ENSG00000141380,6760,"['SS18', 'SSXT', 'SYT']",SS18
ENSG00000143493,25896,"['INTS7', 'C1orf73']",INTS7
ENSG00000144231,5433,['POLR2D'],POLR2D
ENSG00000144893,116931,"['MED12L', 'KIAA1635', 'TNRC11L', 'TRALP', 'TRALPUSH', 'PRO0314']",MED12L
ENSG00000145736,2966,"['GTF2H2', 'BTF2P44']",GTF2H2
ENSG00000147133,6872,"['TAF1', 'BA2R', 'CCG1', 'CCGS', 'TAF2A']",TAF1
ENSG00000147669,5440,['POLR2K'],POLR2K
ENSG00000148297,6837,"['MED22', 'SURF5']",MED22
ENSG00000148835,6877,"['TAF5', 'TAF2D']",TAF5
ENSG00000149136,6749,"['SSRP1', 'FACT80']",SSRP1
ENSG00000149262,92105,"['INTS4', 'MSTP093']",INTS4
ENSG00000152382,117143,"['TADA1', 'TADA1L']",TADA1
ENSG00000152944,9412,"['MED21', 'SRB7', 'SURB7']",MED21
ENSG00000153147,8467,"['SMARCA5', 'SNF2H', 'WCRF135']",SMARCA5
ENSG00000153767,2960,"['GTF2E1', 'TF2E1']",GTF2E1
ENSG00000153922,1105,['CHD1'],CHD1
ENSG00000154832,30827,"['CXXC1', 'CFP1', 'CGBP', 'PCCX1', 'PHF18']",CXXC1
ENSG00000155111,23097,"['CDK19', 'CDC2L6', 'CDK11', 'KIAA1028']",CDK19
ENSG00000155868,9443,"['MED7', 'ARC34', 'CRSP9']",MED7
ENSG00000156603,219541,"['MED19', 'LCMR1']",MED19
ENSG00000156650,23522,"['KAT6B', 'KIAA0383', 'MORF', 'MOZ2', 'MYST4']",KAT6B
ENSG00000159479,112950,['MED8'],MED8
ENSG00000160563,9442,"['MED27', 'CRSP34', 'CRSP8']",MED27
ENSG00000161920,400569,"['MED11', 'HSPC296']",MED11
ENSG00000162227,10629,"['TAF6L', 'PAF65A']",TAF6L
ENSG00000162961,84661,['DPY30'],DPY30
ENSG00000163104,56916,"['SMARCAD1', 'KIAA1122']",SMARCAD1
ENSG00000163161,2071,"['ERCC3', 'XPB', 'XPBC']",ERCC3
ENSG00000163635,6314,"['ATXN7', 'SCA7']",ATXN7
ENSG00000163882,5437,['POLR2H'],POLR2H
ENSG00000163939,55193,"['PBRM1', 'BAF180', 'PB1']",PBRM1
ENSG00000164091,80335,"['WDR82', 'SWD2', 'TMEM113', 'WDR82A', 'UNQ9342/PRO34047']",WDR82
ENSG00000164751,5828,"['PEX2', 'PAF1', 'PMP3', 'PMP35', 'PXMP3', 'RNF72']",PEX2
ENSG00000164758,90390,"['MED30', 'THRAP6', 'TRAP25']",MED30
ENSG00000164880,26173,"['INTS1', 'KIAA1440', 'UNQ1821/PRO3434']",INTS1
ENSG00000164941,55656,"['INTS8', 'C8orf52']",INTS8
ENSG00000165417,2957,"['GTF2A1', 'TF2A1']",GTF2A1
ENSG00000165632,83860,['TAF3'],TAF3
ENSG00000166337,6881,"['TAF10', 'TAF2A', 'TAF2H', 'TAFII30']",TAF10
ENSG00000166477,123169,"['LEO1', 'RDL']",LEO1
ENSG00000167258,51755,"['CDK12', 'CRK7', 'CRKRS', 'KIAA0904']",CDK12
ENSG00000167548,8085,"['KMT2D', 'ALR', 'MLL2', 'MLL4']",KMT2D
ENSG00000168002,5436,"['POLR2G', 'RPB7']",POLR2G
ENSG00000169976,83443,"['SF3B5', 'SF3B10']",SF3B5
ENSG00000171148,10474,"['TADA3', 'ADA3', 'TADA3L']",TADA3
ENSG00000171634,2186,"['BPTF', 'FAC1', 'FALZ']",BPTF
ENSG00000172493,4299,"['AFF1', 'AF4', 'FEL', 'MLLT2', 'PBM1']",AFF1
ENSG00000172977,10524,"['KAT5', 'HTATIP', 'TIP60']",KAT5
ENSG00000173011,93624,"['TADA2B', 'ADA2B']",TADA2B
ENSG00000173473,6599,"['SMARCC1', 'BAF155']",SMARCC1
ENSG00000175221,10025,"['MED16', 'DRIP92', 'THRAP5']",MED16
ENSG00000175792,8607,"['RUVBL1', 'INO80H', 'NMP238', 'TIP49', 'TIP49A']",RUVBL1
ENSG00000176476,112869,"['SGF29', 'CCDC101']",SGF29
ENSG00000178913,6879,"['TAF7', 'TAF2F', 'TAFII55']",TAF7
ENSG00000180182,9282,"['MED14', 'ARC150', 'CRSP2', 'CXorf4', 'DRIP150', 'EXLM1', 'RGR1', 'TRAP170']",MED14
ENSG00000183207,10856,"['RUVBL2', 'INO80J', 'TIP48', 'TIP49B', 'CGI-46']",RUVBL2
ENSG00000183495,57634,"['EP400', 'CAGH32', 'KIAA1498', 'KIAA1818', 'TNRC12']",EP400
ENSG00000184402,26039,"['SS18L1', 'CREST', 'KIAA0693']",SS18L1
ENSG00000184634,9968,"['MED12', 'ARC240', 'CAGH45', 'HOPA', 'KIAA0192', 'TNRC11', 'TRAP230']",MED12
ENSG00000185049,7469,"['NELFA', 'WHSC2', 'P/OKcl.15']",NELFA
ENSG00000185085,80789,"['INTS5', 'KIAA1698']",INTS5
ENSG00000187325,51616,"['TAF9B', 'TAF9L']",TAF9B
ENSG00000188342,2963,"['GTF2F2', 'RAP30']",GTF2F2
ENSG00000188986,25920,"['NELFB', 'COBRA1', 'KIAA1182']",NELFB
ENSG00000189079,196528,"['ARID2', 'BAF200', 'KIAA1557']",ARID2
ENSG00000189091,23450,"['SF3B3', 'KIAA0017', 'SAP130']",SF3B3
ENSG00000196235,6829,"['SUPT5H', 'SPT5', 'SPT5H']",SUPT5H
ENSG00000196284,8464,"['SUPT3H', 'SPT3']",SUPT3H
ENSG00000196363,11091,"['WDR5', 'BIG3']",WDR5
ENSG00000196367,8295,"['TRRAP', 'PAF400']",TRRAP
ENSG00000197265,2961,"['GTF2E2', 'TF2E2']",GTF2E2
ENSG00000197780,6884,"['TAF13', 'TAF2K', 'TAFII18']",TAF13
ENSG00000198646,23054,"['NCOA6', 'AIB3', 'KIAA0181', 'RAP250', 'TRBP']",NCOA6
ENSG00000198730,9646,"['CTR9', 'KIAA0155', 'SH2BP1']",CTR9
ENSG00000204356,7936,"['NELFE', 'RD', 'RDBP']",NELFE
ENSG00000205683,8110,"['DPF3', 'BAF45C', 'CERD4']",DPF3
ENSG00000213246,6827,"['SUPT4H1', 'SPT4H', 'SUPT4H']",SUPT4H1
ENSG00000213780,2968,['GTF2H4'],GTF2H4
ENSG00000272333,9757,"['KMT2B', 'HRX2', 'KIAA0304', 'MLL2', 'MLL4', 'TRX2', 'WBP7']",KMT2B
ENSG00000273841,6880,"['TAF9', 'TAF2G', 'TAFII31']",TAF9
